NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_54	ENSG00000179218	5149	0.18691426515579224	0.59246296	Yes	
row_55	ENSG00000165084	5172	0.18566037714481354	0.5995697	Yes	
row_56	ENSG00000133134	5199	0.18423201143741608	0.60644144	Yes	
row_57	ENSG00000158457	5461	0.17039711773395538	0.60255414	Yes	
row_58	ENSG00000114948	5499	0.16843704879283905	0.6082649	Yes	
row_59	ENSG00000066248	5641	0.1615835428237915	0.6091825	Yes	
row_60	ENSG00000182871	6042	0.14310035109519958	0.59810174	Yes	
row_61	ENSG00000132205	6056	0.14273662865161896	0.6037346	Yes	
row_62	ENSG00000101204	6096	0.14126341044902802	0.60817957	Yes	
row_63	ENSG00000175356	6143	0.1391897052526474	0.6122319	Yes	
row_64	ENSG00000151552	6146	0.13906002044677734	0.6181807	Yes	
row_65	ENSG00000175048	6244	0.13527296483516693	0.61985844	Yes	
row_66	ENSG00000101638	6316	0.13228318095207214	0.6225304	Yes	
row_67	ENSG00000099875	6444	0.1270294487476349	0.62255347	Yes	
row_68	ENSG00000171298	6560	0.12275080382823944	0.62290967	Yes	
row_69	ENSG00000138185	6645	0.1200626939535141	0.62448925	Yes	
row_70	ENSG00000167588	6787	0.11624139547348022	0.62343895	No	
row_71	ENSG00000144712	7056	0.10743170976638794	0.61651635	No	
row_72	ENSG00000130881	7085	0.10666779428720474	0.61993533	No	
row_73	ENSG00000107331	7257	0.10192196816205978	0.6169668	No	
row_74	ENSG00000086967	7388	0.09784194082021713	0.61559343	No	
row_75	ENSG00000186868	7518	0.09418444335460663	0.6141046	No	
row_76	ENSG00000134824	7600	0.09204354137182236	0.61459786	No	
row_77	ENSG00000226608	7682	0.09006896615028381	0.6150054	No	
row_78	ENSG00000099864	8063	0.08062735199928284	0.6020779	No	
row_79	ENSG00000162073	8150	0.07875758409500122	0.6017783	No	
row_80	ENSG00000219481	8184	0.07793226838111877	0.6037341	No	
row_81	ENSG00000173210	8540	0.06970282644033432	0.59141314	No	
row_82	ENSG00000149809	8665	0.06656675785779953	0.5889419	No	
row_83	ENSG00000149485	8910	0.06105039641261101	0.5810438	No	
row_84	ENSG00000130222	9318	0.05175110697746277	0.5656959	No	
row_85	ENSG00000167608	9586	0.04600277543067932	0.55615044	No	
row_86	ENSG00000197976	10239	0.03177989646792412	0.52934486	No	
row_87	ENSG00000176155	10610	0.02414258010685444	0.5143982	No	
row_88	ENSG00000163931	11627	0.0031633039470762014	0.47061554	No	
row_89	ENSG00000060656	12472	-0.012573783285915852	0.4346766	No	
row_90	ENSG00000187840	13173	-0.02646051160991192	0.40556517	No	
row_91	ENSG00000119242	13435	-0.03158501535654068	0.3956534	No	
row_92	ENSG00000166813	13747	-0.03794855251908302	0.38385636	No	
row_93	ENSG00000105518	13750	-0.037990618497133255	0.3854187	No	
row_94	ENSG00000186510	14404	-0.05116279050707817	0.35941112	No	
row_95	ENSG00000135472	15182	-0.06868262588977814	0.3288036	No	
row_96	ENSG00000132746	15333	-0.07220815867185593	0.3254532	No	
row_97	ENSG00000167703	15829	-0.0845399796962738	0.30772424	No	
row_98	ENSG00000103257	16635	-0.10766541957855225	0.27759817	No	
row_99	ENSG00000144485	18309	-0.17363230884075165	0.21281295	No	
